id;id_index;kode_provinsi;nama_provinsi;kab_kota;nama_jembatan;periode_update;kategori;jumlah;satuan;tahun
4327;300255929;35;JAWA TIMUR;KABUPATEN MAGETAN;ALAS POGOG II;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5580;300278483;35;JAWA TIMUR;KABUPATEN MAGETAN;ALAS POGOG II;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
6833;300286001;35;JAWA TIMUR;KABUPATEN MAGETAN;ALAS POGOG II;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
361;300247169;35;JAWA TIMUR;KABUPATEN TUBAN;ALAS TUWO;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
1604;300262145;35;JAWA TIMUR;KABUPATEN TUBAN;ALAS TUWO;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
2857;300269663;35;JAWA TIMUR;KABUPATEN TUBAN;ALAS TUWO;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4110;300254627;35;JAWA TIMUR;KABUPATEN TUBAN;ALAS TUWO;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5363;300277181;35;JAWA TIMUR;KABUPATEN TUBAN;ALAS TUWO;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
6616;300284699;35;JAWA TIMUR;KABUPATEN TUBAN;ALAS TUWO;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
861;300250169;35;JAWA TIMUR;KABUPATEN SITUBONDO;ALON- ALON;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2114;300265205;35;JAWA TIMUR;KABUPATEN SITUBONDO;ALON- ALON;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3367;300272723;35;JAWA TIMUR;KABUPATEN SITUBONDO;ALON- ALON;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4620;300257687;35;JAWA TIMUR;KABUPATEN SITUBONDO;ALON- ALON;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5873;300280241;35;JAWA TIMUR;KABUPATEN SITUBONDO;ALON- ALON;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7126;300287759;35;JAWA TIMUR;KABUPATEN SITUBONDO;ALON- ALON;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1071;300251426;35;JAWA TIMUR;KABUPATEN JEMBER;AMBULU;2024-Q1;KONDISI KRITIS;1;UNIT;2024
2324;300266462;35;JAWA TIMUR;KABUPATEN JEMBER;AMBULU;2024-Q2;KONDISI KRITIS;1;UNIT;2024
3577;300273980;35;JAWA TIMUR;KABUPATEN JEMBER;AMBULU;2024-Q3;KONDISI KRITIS;1;UNIT;2024
4830;300258944;35;JAWA TIMUR;KABUPATEN JEMBER;AMBULU;2024-Q4;KONDISI KRITIS;1;UNIT;2024
6083;300281498;35;JAWA TIMUR;KABUPATEN JEMBER;AMBULU;2025-S1;KONDISI KRITIS;1;UNIT;2025
7336;300289016;35;JAWA TIMUR;KABUPATEN JEMBER;AMBULU;2025-S2;KONDISI KRITIS;1;UNIT;2025
964;300250787;35;JAWA TIMUR;KABUPATEN BANYUWANGI;AMIRAN;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2217;300265823;35;JAWA TIMUR;KABUPATEN BANYUWANGI;AMIRAN;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3470;300273341;35;JAWA TIMUR;KABUPATEN BANYUWANGI;AMIRAN;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4723;300258305;35;JAWA TIMUR;KABUPATEN BANYUWANGI;AMIRAN;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5976;300280859;35;JAWA TIMUR;KABUPATEN BANYUWANGI;AMIRAN;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7229;300288377;35;JAWA TIMUR;KABUPATEN BANYUWANGI;AMIRAN;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1237;300252426;35;JAWA TIMUR;KABUPATEN SAMPANG;APAAN;2024-Q1;KONDISI RUSAK SEDANG;1;UNIT;2024
